text,intent,valence,arousal,lang
hmm pls! 🌿,fallback_clarify,neutral,low,en
estoy molesto pls! 😟,check_in_mood,negative,high,es
podría tener una sobredosis pls!! 😥 / i might overdose,crisis_emergency,negative,high,es
i need to chat please. 🌿 / ¿hay alguien?,greeting_start,neutral,medium,en
i'll come back later please...,thanks_goodbye,positive,low,en
me estoy desconectando por favor 🌿,grounding_exercise,negative,medium,es
no sé... 🌿,fallback_clarify,neutral,low,es
"me ayudó, buenas noches porfa 😔",thanks_goodbye,positive,low,es
give me an affirmation rn / necesito algo positivo,affirmation_request,neutral,low,en
modo español por favor!! 😥,language_switch,neutral,low,es
breathing exercise please rn. 🙏,breathing_exercise,neutral,medium,en
quiero sentirme presente pls! 😟,grounding_exercise,negative,medium,es
i'm panicky!! 😟,check_in_mood,negative,high,en
support me ground pls 😤,grounding_exercise,negative,medium,en
can we switch to english? rn!! 🙏,language_switch,neutral,low,en
i need something positive rn! 😥,affirmation_request,neutral,low,en
is anyone there? tbh! 🌿,greeting_start,neutral,medium,en
voy a lastimarme pls! 😤,crisis_emergency,negative,high,es
un ejercicio de respirar porfa. 😔,breathing_exercise,neutral,medium,es
un ejercicio de respirar ahora... 😥,breathing_exercise,neutral,medium,es
dame una afirmación pls. 😟,affirmation_request,neutral,low,es
i might overdose rn! 😤,crisis_emergency,negative,high,en
i'm irritated please. 🙏,check_in_mood,negative,high,en
¿por qué me siento así? pls 😥,self_assess,neutral,medium,es
spanish mode tbh... 😔 / modo español,language_switch,neutral,low,en
need to feel present tbh... 😔,grounding_exercise,negative,medium,en
¿por qué me siento así? por favor... ✨,self_assess,neutral,medium,es
necesito chatear pls... 😟,greeting_start,neutral,medium,es
quiero escribir sobre esto porfa! 💜,journal_prompt,neutral,low,es
dame una afirmación por favor... ✨,affirmation_request,neutral,low,es
¿podemos charlar? ahora! 🙏,greeting_start,neutral,medium,es
hey can we chat? rn! 😥,greeting_start,neutral,medium,en
un prompt de diario porfa!! 😔,journal_prompt,neutral,low,es
steadying exercise please pls 😥,grounding_exercise,negative,medium,en
breathing exercise please tbh 🌿,breathing_exercise,neutral,medium,en
modo español porfa! 💜 / spanish please,language_switch,neutral,low,es
help me ground,grounding_exercise,negative,medium,en
i feel blue today rn! 😤,check_in_mood,negative,high,en
inglés por favor porfa! 😔 / spanish please,language_switch,neutral,low,es
information about support rn.,info_help,neutral,low,en
say something encouraging please. ✨,affirmation_request,neutral,low,en
me siento nervioso pls... ✨,check_in_mood,negative,high,es
need to feel present pls... 🙏,grounding_exercise,negative,medium,en
podría tener una sobredosis por favor! 💜,crisis_emergency,negative,high,es
modo español! 😟,language_switch,neutral,low,es
idk! ✨,fallback_clarify,neutral,low,en
can you support me breathe? rn. 😥,breathing_exercise,neutral,medium,en
i feel down today please 💜,check_in_mood,negative,high,en
"gracias, adiós ahora... 😤 / i'll come back later",thanks_goodbye,positive,low,es
can you assist me breathe? tbh... 😔,breathing_exercise,neutral,medium,en
no sé pls 🙏,fallback_clarify,neutral,low,es
hey can we talk? please... 😔,greeting_start,neutral,medium,en
i feel numb. ✨,check_in_mood,negative,high,en
what support options can assist? pls 💜,info_help,neutral,low,en
what help options can support?...,info_help,neutral,low,en
🤔 please!! 😟,fallback_clarify,neutral,low,en
un prompt de diario!! 🌿 / journal prompt please,journal_prompt,neutral,low,es
me estoy desconectando! 😟 / grounding exercise please,grounding_exercise,negative,medium,es
i’m in danger right now tbh! 🙏,crisis_emergency,negative,high,en
why am i feeling this way? please...,self_assess,neutral,medium,en
spanish please rn! 🌿,language_switch,neutral,low,en
estoy como desconectado porfa 😤,check_in_mood,negative,high,es
is this normal? tbh. 😔,self_assess,neutral,medium,en
estoy en peligro ahora pls... 😥,crisis_emergency,negative,high,es
i feel nervous tbh 🙏,check_in_mood,negative,high,en
i feel down today!! ✨,check_in_mood,negative,high,en
necesito calmarme con respiración pls! 💜,breathing_exercise,neutral,medium,es
"this assisted, goodnight tbh. 🙏 / eso es todo por ahora",thanks_goodbye,positive,low,en
i need a calm breathing routine tbh...,breathing_exercise,neutral,medium,en
hello tbh! 😤,greeting_start,neutral,medium,en
give me a writing prompt rn... 🙏,journal_prompt,neutral,low,en
quiero sentirme presente ahora. 😔,grounding_exercise,negative,medium,es
need reassurance tbh 🙏,affirmation_request,neutral,low,en
¿con quién puedo hablar?! 🌿,info_help,neutral,low,es
necesito arraigarme ahora... 😥,grounding_exercise,negative,medium,es
algo que me anime pls!! 🌿 / i need something positive,affirmation_request,neutral,low,es
english please pls! ✨,language_switch,neutral,low,en
me siento ansioso porfa!!,check_in_mood,negative,high,es
"thanks, bye rn!! 🌿",thanks_goodbye,positive,low,en
¿esto es normal? porfa. 😥,self_assess,neutral,medium,es
information about support! 😟,info_help,neutral,low,en
información de apoyo por favor! 😔,info_help,neutral,low,es
i need a calm breathing routine rn! 🙏,breathing_exercise,neutral,medium,en
modo español pls. 😟 / spanish mode,language_switch,neutral,low,es
necesito calmarme con respirar por favor. 😤,breathing_exercise,neutral,medium,es
"gracias, adiós pls!",thanks_goodbye,positive,low,es
¿por qué me siento así?. 💜 / how do stress and emotions work?,self_assess,neutral,medium,es
can you support me breathing? rn. 😟,breathing_exercise,neutral,medium,en
mmm... por favor!! 😔,fallback_clarify,neutral,low,es
hmm please. 😔,fallback_clarify,neutral,low,en
🤔 pls!! 🙏,fallback_clarify,neutral,low,es
spanish mode!! 😥,language_switch,neutral,low,en
what’s happening in my brain?. 😤,self_assess,neutral,medium,en
"this helped, goodnight!! 🌿",thanks_goodbye,positive,low,en
una consigna para escribir porfa!! ✨ / help me reflect,journal_prompt,neutral,low,es
¿cómo funcionan el estrés y las emociones?... 😔,self_assess,neutral,medium,es
english please tbh... 🙏,language_switch,neutral,low,en
??? tbh. ✨,fallback_clarify,neutral,low,en
grounding exercise please! 😤,grounding_exercise,negative,medium,en
vuelvo luego porfa. 😔,thanks_goodbye,positive,low,es
un prompt de diario porfa 😤,journal_prompt,neutral,low,es
spanish please rn!! 🌿,language_switch,neutral,low,en
hi!! 💜,greeting_start,neutral,medium,en
kill myself pls 😔,crisis_emergency,negative,high,en
quiero una frase de apoyo ahora!! 😤,affirmation_request,neutral,low,es
🤔 rn! 😟,fallback_clarify,neutral,low,en
i want to die rn. 🌿,crisis_emergency,negative,high,en
i'm panicky tbh 😔,check_in_mood,negative,high,en
opciones de ayuda no urgente por favor. 🌿,info_help,neutral,low,es
how do stress and emotions work? tbh! 😔,self_assess,neutral,medium,en
help me anchor pls 😟,grounding_exercise,negative,medium,en
ayúdame a respirar! 😟,breathing_exercise,neutral,medium,es
¿cómo funcionan el estrés y las emociones? por favor! 😥 / why am i feeling this way?,self_assess,neutral,medium,es
opciones de ayuda no urgente ahora. 😔,info_help,neutral,low,es
assist me reflect rn!! 😤,journal_prompt,neutral,low,en
estoy como desconectado! ✨,check_in_mood,negative,high,es
i want to write about this tbh!! 😥,journal_prompt,neutral,low,en
i feel numb please. 🙏,check_in_mood,negative,high,en
give me an affirmation rn / necesito algo positivo,affirmation_request,neutral,low,en
i need a calm breathing routine please!! 😔 / necesito calmarme con respiración,breathing_exercise,neutral,medium,en
mmm... 😥,fallback_clarify,neutral,low,es
🤔 rn. 😔,fallback_clarify,neutral,low,en
quiero sentirme presente! 😟 / need to feel present,grounding_exercise,negative,medium,es
can you help me breathe? pls!!,breathing_exercise,neutral,medium,en
"this helped, goodnight tbh 🙏",thanks_goodbye,positive,low,en
i’m dissociating tbh... ✨,grounding_exercise,negative,medium,en
spanish please pls. 😔,language_switch,neutral,low,en
mmm... porfa. 🙏,fallback_clarify,neutral,low,es
¿por qué me siento así? 😥,self_assess,neutral,medium,es
no sé pls!! 💜,fallback_clarify,neutral,low,es
i want to write about this rn 😤,journal_prompt,neutral,low,en
🤔 por favor! 😔,fallback_clarify,neutral,low,es
estoy como desconectado!! 🙏,check_in_mood,negative,high,es
i'm panicky tbh. ✨ / me siento ansioso,check_in_mood,negative,high,en
who can i talk to nearby? please. 😔 / información de apoyo,info_help,neutral,low,en
english please tbh. 💜,language_switch,neutral,low,en
opciones de apoyo no urgente por favor 😥,info_help,neutral,low,es
give me an affirmation please!! ✨,affirmation_request,neutral,low,en
hi tbh! 🙏,greeting_start,neutral,medium,en
spanish mode!! 😥,language_switch,neutral,low,en
matarme ahora. 🙏,crisis_emergency,negative,high,es
can you help me breathing? please... 💜 / necesito calmarme con respiración,breathing_exercise,neutral,medium,en
un ejercicio de respirar pls... 🙏 / breathing exercise please,breathing_exercise,neutral,medium,es
what support options can support? rn... 😤 / información de apoyo,info_help,neutral,low,en
hello!! 🙏,greeting_start,neutral,medium,en
i will hurt myself please!! 😟,crisis_emergency,negative,high,en
what’s happening in my brain? tbh. 😥,self_assess,neutral,medium,en
hello pls. 😟,greeting_start,neutral,medium,en
¿esto es normal? por favor... 🌿,self_assess,neutral,medium,es
i feel nervous pls. 😥,check_in_mood,negative,high,en
"this supported, goodnight please!! / gracias, adiós",thanks_goodbye,positive,low,en
i want to write about this pls. 🌿,journal_prompt,neutral,low,en
i want to die. 😥,crisis_emergency,negative,high,en
estoy enojado porfa! 😥,check_in_mood,negative,high,es
breathing exercise please rn!! 😔,breathing_exercise,neutral,medium,en
me estoy desconectando pls! 😟 / help me ground,grounding_exercise,negative,medium,es
voy a lastimarme pls 🌿,crisis_emergency,negative,high,es
i want to die rn!,crisis_emergency,negative,high,en
can we switch to english? tbh 🙏,language_switch,neutral,low,en
necesito calmarme con respiración ahora!! 😥,breathing_exercise,neutral,medium,es
podría tener una sobredosis! 😟,crisis_emergency,negative,high,es
is anyone there? pls!! 😥,greeting_start,neutral,medium,en
¿esto es normal? por favor!! 😔,self_assess,neutral,medium,es
that’s all for now pls! 😔,thanks_goodbye,positive,low,en
me quiero morir ahora!,crisis_emergency,negative,high,es
necesito calmarme con respirar. 🙏,breathing_exercise,neutral,medium,es
steadying exercise please rn. 😥,grounding_exercise,negative,medium,en
quiero sentirme presente por favor!! 🙏,grounding_exercise,negative,medium,es
modo español ahora! 😤,language_switch,neutral,low,es
¿con quién puedo hablar? por favor... 😤,info_help,neutral,low,es
modo español! 😥,language_switch,neutral,low,es
steadying exercise please pls. 😥,grounding_exercise,negative,medium,en
support me reflect tbh... ✨,journal_prompt,neutral,low,en
information about support rn!! 😔,info_help,neutral,low,en
¿qué pasa en mi cerebro? por favor... 😔,self_assess,neutral,medium,es
give me a writing prompt tbh... 😥,journal_prompt,neutral,low,en
what please... 😟 / 🤔,fallback_clarify,neutral,low,en
i need a calm breathing routine please 😔,breathing_exercise,neutral,medium,en
anchoring exercise please pls!! 💜,grounding_exercise,negative,medium,en
i'm panicky... ✨,check_in_mood,negative,high,en
¿qué? pls... 😤 / idk,fallback_clarify,neutral,low,es
need to feel present pls 🙏,grounding_exercise,negative,medium,en
¿con quién puedo charlar? ahora!!,info_help,neutral,low,es
¿podemos charlar? ahora! 💜,greeting_start,neutral,medium,es
spanish mode... ✨ / hablemos en español,language_switch,neutral,low,en
who can i talk to nearby? rn!! 😔,info_help,neutral,low,en
me siento nervioso porfa! 😤,check_in_mood,negative,high,es
i feel numb pls. 🙏,check_in_mood,negative,high,en
¿podemos charlar? pls. 🌿,greeting_start,neutral,medium,es
estoy como desconectado ahora!! 😔,check_in_mood,negative,high,es
ayúdame a respirar pls!! ✨,breathing_exercise,neutral,medium,es
necesito calmarme con respiración pls!! ✨,breathing_exercise,neutral,medium,es
inglés por favor porfa... 😤,language_switch,neutral,low,es
hello rn! 😔,greeting_start,neutral,medium,en
i feel sad today pls 😥,check_in_mood,negative,high,en
¿esto es normal? ahora... 😥,self_assess,neutral,medium,es
i feel on edge tbh 🌿,check_in_mood,negative,high,en
mmm... porfa!! 😟,fallback_clarify,neutral,low,es
estoy como desconectado ahora! 😥,check_in_mood,negative,high,es
i might overdose rn 🙏 / matarme,crisis_emergency,negative,high,en
¿qué pasa en mi cerebro? pls 🙏,self_assess,neutral,medium,es
what resources can support? pls! 💜,info_help,neutral,low,en
un ejercicio de respirar 😤 / i need a calm breathing routine,breathing_exercise,neutral,medium,es
what support options can help? 💜,info_help,neutral,low,en
necesito algo positivo porfa! 💜,affirmation_request,neutral,low,es
non-emergency support options. 😤,info_help,neutral,low,en
"thanks, bye please...",thanks_goodbye,positive,low,en
i feel sad today rn!! 😤,check_in_mood,negative,high,en
opciones de apoyo no urgente por favor. 😔,info_help,neutral,low,es
inglés por favor pls! ✨,language_switch,neutral,low,es
"this helped, goodnight pls!! 😟",thanks_goodbye,positive,low,en
i'm panicky tbh!! 🙏,check_in_mood,negative,high,en
i'll come back later pls... 😔,thanks_goodbye,positive,low,en
i might overdose rn 🙏 / voy a lastimarme,crisis_emergency,negative,high,en
hola porfa... 🙏,greeting_start,neutral,medium,es
"this helped, goodnight tbh 😥",thanks_goodbye,positive,low,en
i need to chat pls!! 😔,greeting_start,neutral,medium,en
¿podemos hablar? pls.,greeting_start,neutral,medium,es
¿qué? ahora!,fallback_clarify,neutral,low,es
breathing exercise please!! 😔,breathing_exercise,neutral,medium,en
un ejercicio de respirar porfa! 😥,breathing_exercise,neutral,medium,es
vuelvo luego porfa!! 🌿,thanks_goodbye,positive,low,es
¿con quién puedo charlar? ahora.,info_help,neutral,low,es
idk please! 🌿,fallback_clarify,neutral,low,en
quiero una frase de apoyo porfa... ✨,affirmation_request,neutral,low,es
podría tener una sobredosis ahora 🌿,crisis_emergency,negative,high,es
estoy enojado... 🌿,check_in_mood,negative,high,es
i feel numb! 😤 / me siento triste,check_in_mood,negative,high,en
información de apoyo pls... 🙏,info_help,neutral,low,es
hello tbh... 🙏,greeting_start,neutral,medium,en
what please. 😟,fallback_clarify,neutral,low,en
"thanks, bye tbh. 🌿",thanks_goodbye,positive,low,en
información de apoyo porfa. 😟,info_help,neutral,low,es
ayúdame a respirar 😔 / can you help me breathe?,breathing_exercise,neutral,medium,es
estoy como desconectado por favor...,check_in_mood,negative,high,es
i want to die please!! 😟 / estoy en peligro ahora,crisis_emergency,negative,high,en
¿qué?!,fallback_clarify,neutral,low,es
¿qué pasa en mi cerebro? ahora. 😤,self_assess,neutral,medium,es
support me ground pls! 🙏,grounding_exercise,negative,medium,en
breathing exercise please tbh!! 😥,breathing_exercise,neutral,medium,en
¿hay alguien? porfa!! 💜,greeting_start,neutral,medium,es
hmm rn!! 😔,fallback_clarify,neutral,low,en
"this helped, goodnight rn! 😤",thanks_goodbye,positive,low,en
kill myself please 😤 / voy a lastimarme,crisis_emergency,negative,high,en
¿hay alguien? por favor! 🌿,greeting_start,neutral,medium,es
un ejercicio de arraigo por favor ✨ / need to feel present,grounding_exercise,negative,medium,es
eso es todo por ahora pls! 😟,thanks_goodbye,positive,low,es
non-emergency help options please. 😥,info_help,neutral,low,en
is this normal? rn! 😔,self_assess,neutral,medium,en
is this normal?... 😟,self_assess,neutral,medium,en
english please. ✨ / modo español,language_switch,neutral,low,en
ayúdame a respirar pls. 🙏,breathing_exercise,neutral,medium,es
quiero escribir sobre esto por favor!,journal_prompt,neutral,low,es
¿qué opciones de ayuda hay?!! 😟,info_help,neutral,low,es
¿con quién puedo hablar? porfa!! 😔,info_help,neutral,low,es
say something encouraging pls. 😔,affirmation_request,neutral,low,en
me estoy desconectando pls... 😟,grounding_exercise,negative,medium,es
how do stress and emotions work?!! ✨,self_assess,neutral,medium,en
is this normal?!! ✨,self_assess,neutral,medium,en
can you assist me breathe? tbh ✨ / ayúdame a respirar,breathing_exercise,neutral,medium,en
quiero sentirme presente ahora,grounding_exercise,negative,medium,es
hablemos en español... ✨,language_switch,neutral,low,es
necesito arraigarme por favor... 🌿 / grounding exercise please,grounding_exercise,negative,medium,es
??? tbh!! 😤,fallback_clarify,neutral,low,en
dame una afirmación por favor!! 🙏,affirmation_request,neutral,low,es
support me reflect rn! 😥,journal_prompt,neutral,low,en
inglés por favor ahora 💜,language_switch,neutral,low,es
un ejercicio de respirar porfa.,breathing_exercise,neutral,medium,es
quiero una frase de apoyo por favor!! 💜,affirmation_request,neutral,low,es
kill myself pls! 😤,crisis_emergency,negative,high,en
what’s happening in my brain? please! ✨,self_assess,neutral,medium,en
is anyone there? rn!! ✨,greeting_start,neutral,medium,en
i will hurt myself pls 😥,crisis_emergency,negative,high,en
un ejercicio de anclaje por favor!! 💜,grounding_exercise,negative,medium,es
"me ayudó, buenas noches ahora... 😔",thanks_goodbye,positive,low,es
"gracias, adiós por favor.",thanks_goodbye,positive,low,es
"me ayudó, buenas noches ahora 🙏",thanks_goodbye,positive,low,es
need to feel present tbh. 😥,grounding_exercise,negative,medium,en
opciones de ayuda no urgente porfa... 😟,info_help,neutral,low,es
¿qué? ahora... ✨,fallback_clarify,neutral,low,es
i might overdose rn.,crisis_emergency,negative,high,en
necesito calmarme con respirar por favor... ✨,breathing_exercise,neutral,medium,es
¿qué pasa en mi cerebro? porfa! 😔,self_assess,neutral,medium,es
i’m dissociating please 😤,grounding_exercise,negative,medium,en
estoy molesto ✨,check_in_mood,negative,high,es
necesito arraigarme ✨ / i’m dissociating,grounding_exercise,negative,medium,es
me estoy desconectando ahora 😤,grounding_exercise,negative,medium,es
hi pls!! 😔,greeting_start,neutral,medium,en
"me ayudó, buenas noches ahora! 🙏",thanks_goodbye,positive,low,es
necesito arraigarme ahora. 🌿,grounding_exercise,negative,medium,es
¿por qué me siento así? ahora... 😔,self_assess,neutral,medium,es
estoy en peligro ahora pls! ✨,crisis_emergency,negative,high,es
ayúdame a respirar por favor!! 😔,breathing_exercise,neutral,medium,es
cambiemos a inglés porfa... 😤,language_switch,neutral,low,es
i need a calm breathing routine please!! 💜,breathing_exercise,neutral,medium,en
🤔 porfa!! 😤,fallback_clarify,neutral,low,es
assist me steady please.,grounding_exercise,negative,medium,en
journal prompt please rn... 😥,journal_prompt,neutral,low,en
voy a lastimarme por favor... 💜,crisis_emergency,negative,high,es
i want to die pls... 🙏,crisis_emergency,negative,high,en
un ejercicio de anclaje ahora!! 😟,grounding_exercise,negative,medium,es
inglés por favor ahora!! 🙏 / spanish mode,language_switch,neutral,low,es
una consigna para escribir ahora! 😔,journal_prompt,neutral,low,es
quiero una frase de apoyo ahora 😟,affirmation_request,neutral,low,es
hablemos en español por favor!! 💜,language_switch,neutral,low,es
anchoring exercise please. 💜,grounding_exercise,negative,medium,en
i will hurt myself tbh!! 💜,crisis_emergency,negative,high,en
hey can we chat? tbh...,greeting_start,neutral,medium,en
i feel down today 😤,check_in_mood,negative,high,en
🤔 😤,fallback_clarify,neutral,low,es
hey can we talk? tbh 💜,greeting_start,neutral,medium,en
i want to write about this pls!!,journal_prompt,neutral,low,en
hello rn. ✨,greeting_start,neutral,medium,en
what support options can support? pls! 🙏,info_help,neutral,low,en
i feel sad today please. 😤,check_in_mood,negative,high,en
¿por qué me siento así? pls!! 🌿,self_assess,neutral,medium,es
how do stress and emotions work? rn... 😥 / ¿cómo funcionan el estrés y las emociones?,self_assess,neutral,medium,en
i need a calm breathing routine tbh... 😟,breathing_exercise,neutral,medium,en
eso es todo por ahora pls... 😔,thanks_goodbye,positive,low,es
who can i talk to nearby? pls... 😥 / ¿con quién puedo hablar?,info_help,neutral,low,en
need to feel present pls 😤,grounding_exercise,negative,medium,en
non-emergency help options please!! 😔,info_help,neutral,low,en
un ejercicio de respirar porfa... 😥,breathing_exercise,neutral,medium,es
¿hay alguien? ahora... 💜,greeting_start,neutral,medium,es
i feel sad today pls! ✨,check_in_mood,negative,high,en
i’m dissociating please 💜,grounding_exercise,negative,medium,en
is anyone there? pls 🌿,greeting_start,neutral,medium,en
"thanks, bye tbh... 🙏",thanks_goodbye,positive,low,en
i feel blue today. 😤,check_in_mood,negative,high,en
matarme ahora! 💜,crisis_emergency,negative,high,es
breathing exercise please. 🙏,breathing_exercise,neutral,medium,en
estoy en peligro ahora pls,crisis_emergency,negative,high,es
is anyone there?... 💜,greeting_start,neutral,medium,en
information about support please!! 💜 / ¿con quién puedo hablar?,info_help,neutral,low,en
una consigna para escribir ahora!! 😔,journal_prompt,neutral,low,es
i need a calm breathing routine! 🙏,breathing_exercise,neutral,medium,en
necesito chatear por favor!! 😥,greeting_start,neutral,medium,es
me siento ansioso!! ✨ / i feel anxious,check_in_mood,negative,high,es
un ejercicio de arraigo por favor 🙏,grounding_exercise,negative,medium,es
un ejercicio de arraigo!! 🌿,grounding_exercise,negative,medium,es
un ejercicio de arraigo pls,grounding_exercise,negative,medium,es
necesito calmarme con respiración ahora... ✨,breathing_exercise,neutral,medium,es
eso es todo por ahora porfa...,thanks_goodbye,positive,low,es
why am i feeling this way?!! 😥 / ¿esto es normal?,self_assess,neutral,medium,en
mmm... ahora 😤,fallback_clarify,neutral,low,es
cambiemos a inglés ✨,language_switch,neutral,low,es
non-emergency help options pls. ✨,info_help,neutral,low,en
una consigna para escribir... 😟,journal_prompt,neutral,low,es
i feel blue today please...,check_in_mood,negative,high,en
i need something positive rn!! 🌿,affirmation_request,neutral,low,en
need reassurance. 🙏 / necesito algo positivo,affirmation_request,neutral,low,en
i'm angry tbh. 🙏,check_in_mood,negative,high,en
i need something positive pls. 🌿,affirmation_request,neutral,low,en
una consigna para escribir!,journal_prompt,neutral,low,es
i feel sad today tbh!! 🙏,check_in_mood,negative,high,en
"this helped, goodnight pls! 🙏",thanks_goodbye,positive,low,en
¿con quién puedo charlar? por favor. 🌿,info_help,neutral,low,es
english please pls 💜,language_switch,neutral,low,en
"vuelvo luego porfa 😤 / thanks, bye",thanks_goodbye,positive,low,es
i’m dissociating rn!! 🌿,grounding_exercise,negative,medium,en
me estoy desconectando por favor ✨,grounding_exercise,negative,medium,es
podría tener una sobredosis pls! 😤,crisis_emergency,negative,high,es
¿qué? ahora!! 😤,fallback_clarify,neutral,low,es
i will hurt myself tbh 🙏,crisis_emergency,negative,high,en
say something encouraging rn!! 😔,affirmation_request,neutral,low,en
hmm tbh.,fallback_clarify,neutral,low,en
information about support! 🙏,info_help,neutral,low,en
i need to chat tbh. 🌿,greeting_start,neutral,medium,en
¿qué pasa en mi cerebro? por favor!! 😥,self_assess,neutral,medium,es
