text,intent,valence,arousal,lang
give me an positive line tbh... 😔,affirmation_request,neutral,low,en
i'm panicky tbh 🌿,check_in_mood,negative,high,en
support me reflect tbh. 🙏 / una consigna para escribir,journal_prompt,neutral,low,en
i will hurt myself rn 💜,crisis_emergency,negative,high,en
spanish please pls! 😤,language_switch,neutral,low,en
what support options can support? rn ✨,info_help,neutral,low,en
kill myself pls! 😤,crisis_emergency,negative,high,en
i feel on edge tbh 🌿,check_in_mood,negative,high,en
english please rn. 🌿,language_switch,neutral,low,en
what’s happening in my brain?! 😔,self_assess,neutral,medium,en
spanish please rn!! 🌿,language_switch,neutral,low,en
assist me reflect rn!! 😤,journal_prompt,neutral,low,en
i will hurt myself tbh!! 💜,crisis_emergency,negative,high,en
need to feel present pls... 😟,grounding_exercise,negative,medium,en
spanish please pls!! 😟,language_switch,neutral,low,en
i need a calm breathing routine tbh...,breathing_exercise,neutral,medium,en
information about support rn!! 😔,info_help,neutral,low,en
"this helped, goodnight!! 🌿",thanks_goodbye,positive,low,en
give me an positive line please! 😔,affirmation_request,neutral,low,en
kill myself please 😤 / voy a lastimarme,crisis_emergency,negative,high,en
need reassurance pls... 😔,affirmation_request,neutral,low,en
i need to chat please. 🌿 / ¿hay alguien?,greeting_start,neutral,medium,en
non-emergency support options tbh!,info_help,neutral,low,en
non-emergency support options pls!! 💜,info_help,neutral,low,en
is this normal? please... 😤,self_assess,neutral,medium,en
is anyone there? 😟,greeting_start,neutral,medium,en
give me an affirmation rn / necesito algo positivo,affirmation_request,neutral,low,en
"that’s all for now tbh. ✨ / me ayudó, buenas noches",thanks_goodbye,positive,low,en
🤔 pls ✨,fallback_clarify,neutral,low,en
i feel blue today. 😤,check_in_mood,negative,high,en
i'll come back later rn 😥,thanks_goodbye,positive,low,en
"that’s all for now rn 😤 / gracias, adiós",thanks_goodbye,positive,low,en
need reassurance tbh 🌿,affirmation_request,neutral,low,en
who can i talk to nearby? tbh. 😥,info_help,neutral,low,en
can we switch to english? rn!! 😥,language_switch,neutral,low,en
breathing exercise please please... ✨,breathing_exercise,neutral,medium,en
i want to die pls... 🙏,crisis_emergency,negative,high,en
can you support me breathe? rn. 😥,breathing_exercise,neutral,medium,en
"this assisted, goodnight rn... ✨",thanks_goodbye,positive,low,en
give me a writing prompt please,journal_prompt,neutral,low,en
🤔 tbh!! 🙏,fallback_clarify,neutral,low,en
i might overdose please!! 😟,crisis_emergency,negative,high,en
hmm pls! 🌿,fallback_clarify,neutral,low,en
who can i talk to nearby? please!! 😟,info_help,neutral,low,en
hello rn 😔,greeting_start,neutral,medium,en
i might overdose rn.,crisis_emergency,negative,high,en
what’s happening in my brain? rn / ¿por qué me siento así?,self_assess,neutral,medium,en
assist me reflect pls... 🌿,journal_prompt,neutral,low,en
who can i talk to nearby? rn!! 😔,info_help,neutral,low,en
what support options can support? pls! 🙏,info_help,neutral,low,en
assist me reflect rn! 😟,journal_prompt,neutral,low,en
give me an positive line pls 😟,affirmation_request,neutral,low,en
"thanks, bye rn. 😤",thanks_goodbye,positive,low,en
give me a writing prompt please 🌿,journal_prompt,neutral,low,en
who can i chat to nearby?!! ✨ / opciones de ayuda no urgente,info_help,neutral,low,en
need to feel present tbh! 💜,grounding_exercise,negative,medium,en
hello tbh!! 🌿,greeting_start,neutral,medium,en
is anyone there?!! 😥,greeting_start,neutral,medium,en
i will hurt myself,crisis_emergency,negative,high,en
is anyone there?. ✨ / ¿podemos hablar?,greeting_start,neutral,medium,en
can you support me breathing? rn. 😟,breathing_exercise,neutral,medium,en
idk please! 🌿,fallback_clarify,neutral,low,en
need reassurance please! 😔,affirmation_request,neutral,low,en
hmm please. 😔,fallback_clarify,neutral,low,en
spanish mode tbh... 😔 / modo español,language_switch,neutral,low,en
hmm rn,fallback_clarify,neutral,low,en
english please tbh. 💜,language_switch,neutral,low,en
hello pls. 😟,greeting_start,neutral,medium,en
hmm tbh.,fallback_clarify,neutral,low,en
i need to chat please.,greeting_start,neutral,medium,en
why am i feeling this way?! 💜,self_assess,neutral,medium,en
kill myself pls 😔,crisis_emergency,negative,high,en
what’s happening in my brain? pls!! 😔,self_assess,neutral,medium,en
i want to die. 😥,crisis_emergency,negative,high,en
can you support me breathe? please! 💜 / ayúdame a respirar,breathing_exercise,neutral,medium,en
what help options can support? please 🌿,info_help,neutral,low,en
kill myself pls. 😥,crisis_emergency,negative,high,en
need reassurance pls! 🌿,affirmation_request,neutral,low,en
say something encouraging pls. 😔,affirmation_request,neutral,low,en
"thanks, bye please...",thanks_goodbye,positive,low,en
i want to write about this please! 💜,journal_prompt,neutral,low,en
hello! 🌿,greeting_start,neutral,medium,en
english please pls! ✨,language_switch,neutral,low,en
i want to die tbh 😟,crisis_emergency,negative,high,en
spanish mode pls! 😤,language_switch,neutral,low,en
breathing exercise please tbh 🌿,breathing_exercise,neutral,medium,en
🤔 rn! 😟,fallback_clarify,neutral,low,en
is this normal?!! ✨,self_assess,neutral,medium,en
grounding exercise please tbh! 🙏 / necesito arraigarme,grounding_exercise,negative,medium,en
need reassurance... 😤,affirmation_request,neutral,low,en
i want to die rn!,crisis_emergency,negative,high,en
give me a writing prompt rn...,journal_prompt,neutral,low,en
??? tbh... / mmm...,fallback_clarify,neutral,low,en
who can i talk to nearby? please. 😔 / información de apoyo,info_help,neutral,low,en
i'm panicky tbh!! 🙏,check_in_mood,negative,high,en
need to feel present tbh... 😔,grounding_exercise,negative,medium,en
what pls!! 😥,fallback_clarify,neutral,low,en
breathing exercise please rn... 😥,breathing_exercise,neutral,medium,en
what resources can support? pls! 💜,info_help,neutral,low,en
what resources can assist? tbh... 🙏,info_help,neutral,low,en
need reassurance rn 😟,affirmation_request,neutral,low,en
give me a writing prompt!,journal_prompt,neutral,low,en
why am i feeling this way? pls ✨,self_assess,neutral,medium,en
i'm irritated rn! 🙏,check_in_mood,negative,high,en
need reassurance pls 🌿,affirmation_request,neutral,low,en
breathing exercise please tbh!! 😥,breathing_exercise,neutral,medium,en
assist me reflect... 🙏,journal_prompt,neutral,low,en
i want to write about this pls. 🌿,journal_prompt,neutral,low,en
can we switch to english? rn!! 🙏,language_switch,neutral,low,en
say something encouraging please! 🌿,affirmation_request,neutral,low,en
spanish please 😤 / cambiemos a inglés,language_switch,neutral,low,en
kill myself rn!! 🌿,crisis_emergency,negative,high,en
need reassurance please 💜 / quiero una frase de apoyo,affirmation_request,neutral,low,en
i need a calm breathing routine please!! 💜,breathing_exercise,neutral,medium,en
is this normal? tbh. 😔,self_assess,neutral,medium,en
i feel numb. ✨,check_in_mood,negative,high,en
"this supported, goodnight please!! / gracias, adiós",thanks_goodbye,positive,low,en
i will hurt myself rn! 🙏,crisis_emergency,negative,high,en
hello. 😥,greeting_start,neutral,medium,en
help me ground,grounding_exercise,negative,medium,en
hello tbh! 😤,greeting_start,neutral,medium,en
say something encouraging rn!! 😔,affirmation_request,neutral,low,en
give me a writing prompt pls 😥,journal_prompt,neutral,low,en
can we switch to english? tbh... 💜,language_switch,neutral,low,en
i'll come back later please.,thanks_goodbye,positive,low,en
"this assisted, goodnight pls!! 💜",thanks_goodbye,positive,low,en
i might overdose rn 🙏 / matarme,crisis_emergency,negative,high,en
i need something positive rn! 😥,affirmation_request,neutral,low,en
can you assist me breathe? please... 😤,breathing_exercise,neutral,medium,en
hi rn!! 😤,greeting_start,neutral,medium,en
give me a writing prompt pls 😟,journal_prompt,neutral,low,en
i feel numb please. 🙏,check_in_mood,negative,high,en
what please... 😟,fallback_clarify,neutral,low,en
"thanks, bye tbh! 💜",thanks_goodbye,positive,low,en
i need a calm breathing routine! 🙏,breathing_exercise,neutral,medium,en
i feel sad today rn!! 😤,check_in_mood,negative,high,en
hmm please... 🙏,fallback_clarify,neutral,low,en
english please tbh ✨,language_switch,neutral,low,en
i will hurt myself tbh 🙏,crisis_emergency,negative,high,en
i need a calm breathing routine... 😥,breathing_exercise,neutral,medium,en
i want to die 🌿,crisis_emergency,negative,high,en
need to feel present pls 🙏,grounding_exercise,negative,medium,en
non-emergency help options pls! 💜,info_help,neutral,low,en
i need a calm breathing routine please... 😤,breathing_exercise,neutral,medium,en
"this helped, goodnight pls! 🙏",thanks_goodbye,positive,low,en
i want to write about this 😟,journal_prompt,neutral,low,en
hi rn... 🌿 / necesito chatear,greeting_start,neutral,medium,en
that’s all for now... 😔 / vuelvo luego,thanks_goodbye,positive,low,en
is this normal?... 😔,self_assess,neutral,medium,en
i need to chat please! 😔 / ¿podemos hablar?,greeting_start,neutral,medium,en
how do stress and emotions work? rn!! 😟,self_assess,neutral,medium,en
i feel down today tbh!! 😤,check_in_mood,negative,high,en
i feel sad today pls! ✨,check_in_mood,negative,high,en
i’m dissociating. 😟,grounding_exercise,negative,medium,en
i’m dissociating please 😤,grounding_exercise,negative,medium,en
"this helped, goodnight tbh 😥",thanks_goodbye,positive,low,en
steadying exercise please pls 🌿,grounding_exercise,negative,medium,en
how do stress and emotions work? pls! ✨,self_assess,neutral,medium,en
hmm pls. 🙏,fallback_clarify,neutral,low,en
non-emergency support options. 😤,info_help,neutral,low,en
why am i feeling this way? pls 💜,self_assess,neutral,medium,en
what’s happening in my brain? tbh.,self_assess,neutral,medium,en
i’m in danger right now please!! 😤,crisis_emergency,negative,high,en
how do stress and emotions work? pls! 💜,self_assess,neutral,medium,en
i'll come back later rn! 💜,thanks_goodbye,positive,low,en
kill myself please! 😟,crisis_emergency,negative,high,en
information about support! 😟,info_help,neutral,low,en
english please pls... 😥,language_switch,neutral,low,en
need to feel present please! 😟,grounding_exercise,negative,medium,en
i’m dissociating please 💜,grounding_exercise,negative,medium,en
hi please. 🌿,greeting_start,neutral,medium,en
i'm irritated please. 🙏,check_in_mood,negative,high,en
i want to die please!! 😟 / estoy en peligro ahora,crisis_emergency,negative,high,en
i'm panicky please... 🌿,check_in_mood,negative,high,en
i’m in danger right now pls. 🌿,crisis_emergency,negative,high,en
i’m dissociating! 😥,grounding_exercise,negative,medium,en
i want to write about this please...,journal_prompt,neutral,low,en
spanish mode tbh!! 🙏 / cambiemos a inglés,language_switch,neutral,low,en
what’s happening in my brain? tbh. 😥,self_assess,neutral,medium,en
assist me anchor pls!! ✨,grounding_exercise,negative,medium,en
"this assisted, goodnight tbh. 🙏 / eso es todo por ahora",thanks_goodbye,positive,low,en
i feel numb! 😤 / me siento triste,check_in_mood,negative,high,en
i need a calm breathing routine please 😔,breathing_exercise,neutral,medium,en
"thanks, bye tbh!! 💜",thanks_goodbye,positive,low,en
i’m in danger right now rn... 🌿,crisis_emergency,negative,high,en
i might overdose tbh!! 😔,crisis_emergency,negative,high,en
how do stress and emotions work?! 😤,self_assess,neutral,medium,en
journal prompt please!! 💜,journal_prompt,neutral,low,en
hmm pls ✨ / no sé,fallback_clarify,neutral,low,en
information about support please!! 💜 / ¿con quién puedo hablar?,info_help,neutral,low,en
i'm panicky pls 😟,check_in_mood,negative,high,en
idk rn,fallback_clarify,neutral,low,en
who can i chat to nearby? please.,info_help,neutral,low,en
information about support rn! 🌿,info_help,neutral,low,en
i'm panicky... ✨,check_in_mood,negative,high,en
journal prompt please please... 🌿 / ayúdame a reflexionar,journal_prompt,neutral,low,en
information about support rn! 💜,info_help,neutral,low,en
spanish please rn! 🌿,language_switch,neutral,low,en
i'm panicky!! 😟,check_in_mood,negative,high,en
what support options can support? rn... 😤 / información de apoyo,info_help,neutral,low,en
can we switch to english? pls! 💜,language_switch,neutral,low,en
what please... 😟 / 🤔,fallback_clarify,neutral,low,en
spanish please rn!,language_switch,neutral,low,en
give me a writing prompt rn!! 💜,journal_prompt,neutral,low,en
spanish mode! 😔,language_switch,neutral,low,en
hi please. 🙏,greeting_start,neutral,medium,en
is anyone there? tbh. ✨,greeting_start,neutral,medium,en
is this normal? rn... 😟,self_assess,neutral,medium,en
i need something positive pls... 😟,affirmation_request,neutral,low,en
give me an encouraging words! 😔,affirmation_request,neutral,low,en
i want to die pls. ✨,crisis_emergency,negative,high,en
can we switch to english? tbh 🙏,language_switch,neutral,low,en
i need something positive please... 💜,affirmation_request,neutral,low,en
i feel numb pls. 🙏,check_in_mood,negative,high,en
i might overdose rn... ✨,crisis_emergency,negative,high,en
i'm panicky tbh. ✨ / me siento ansioso,check_in_mood,negative,high,en
need to feel present rn... 💜,grounding_exercise,negative,medium,en
i will hurt myself pls. 😟,crisis_emergency,negative,high,en
how do stress and emotions work? rn... 😥,self_assess,neutral,medium,en
journal prompt please tbh! 😥,journal_prompt,neutral,low,en
i feel nervous pls. 😥,check_in_mood,negative,high,en
i feel sad today please! 😤,check_in_mood,negative,high,en
i might overdose tbh. 😥,crisis_emergency,negative,high,en
"thanks, bye tbh. ✨",thanks_goodbye,positive,low,en
give me a writing prompt please 😤,journal_prompt,neutral,low,en
what 😥,fallback_clarify,neutral,low,en
can you help me breathe? rn! 🌿,breathing_exercise,neutral,medium,en
journal prompt please pls... 😔,journal_prompt,neutral,low,en
is anyone there? please... 🌿,greeting_start,neutral,medium,en
i need a calm breathing routine rn!! 😔,breathing_exercise,neutral,medium,en
i need a calm breathing routine please!! 😟,breathing_exercise,neutral,medium,en
say something encouraging rn!! 😟,affirmation_request,neutral,low,en
is anyone there?...,greeting_start,neutral,medium,en
idk please 😤,fallback_clarify,neutral,low,en
what support options can assist? pls 💜,info_help,neutral,low,en
what’s happening in my brain? please! ✨,self_assess,neutral,medium,en
"thanks, bye tbh... 😟",thanks_goodbye,positive,low,en
i’m dissociating tbh. 💜,grounding_exercise,negative,medium,en
hello!! 🙏,greeting_start,neutral,medium,en
i feel numb tbh 💜,check_in_mood,negative,high,en
i will hurt myself pls 😥,crisis_emergency,negative,high,en
is this normal? 😤 / ¿esto es normal?,self_assess,neutral,medium,en
i'm panicky... 🌿,check_in_mood,negative,high,en
give me a writing prompt pls. 😔,journal_prompt,neutral,low,en
give me an encouraging words tbh! 🙏,affirmation_request,neutral,low,en
is anyone there? pls! 🙏,greeting_start,neutral,medium,en
journal prompt please,journal_prompt,neutral,low,en
"this helped, goodnight rn! 😤",thanks_goodbye,positive,low,en
i'm panicky tbh 😔,check_in_mood,negative,high,en
"thanks, bye please... / gracias, adiós",thanks_goodbye,positive,low,en
kill myself tbh!! 😔,crisis_emergency,negative,high,en
hi tbh! 🙏,greeting_start,neutral,medium,en
is this normal? rn! 😔,self_assess,neutral,medium,en
i feel blue today rn! 😤,check_in_mood,negative,high,en
english please. ✨ / modo español,language_switch,neutral,low,en
is anyone there? pls!! 😥,greeting_start,neutral,medium,en
is anyone there? please. 🙏,greeting_start,neutral,medium,en
is this normal?. ✨,self_assess,neutral,medium,en
help me reflect please... 😟,journal_prompt,neutral,low,en
breathing exercise please tbh... 😤,breathing_exercise,neutral,medium,en
i feel sad today!! 🙏,check_in_mood,negative,high,en
idk pls 🌿 / mmm...,fallback_clarify,neutral,low,en
idk rn. ✨,fallback_clarify,neutral,low,en
what’s happening in my brain? rn!,self_assess,neutral,medium,en
is this normal? tbh 💜 / ¿esto es normal?,self_assess,neutral,medium,en
information about support! 😥,info_help,neutral,low,en
i feel anxious please. 💜,check_in_mood,negative,high,en
grounding exercise please please 😟,grounding_exercise,negative,medium,en
say something encouraging tbh! 😥,affirmation_request,neutral,low,en
hi pls! 🙏,greeting_start,neutral,medium,en
i'm irritated pls... 😟,check_in_mood,negative,high,en
hey can we chat? tbh! 🌿,greeting_start,neutral,medium,en
give me an encouraging words!! 😥,affirmation_request,neutral,low,en
can you help me breathe? pls!!,breathing_exercise,neutral,medium,en
information about support pls... 🙏,info_help,neutral,low,en
assist me steady please.,grounding_exercise,negative,medium,en
is anyone there?... 💜,greeting_start,neutral,medium,en
who can i talk to nearby?... 😟,info_help,neutral,low,en
need to feel present tbh. 😥,grounding_exercise,negative,medium,en
i feel nervous tbh 🙏,check_in_mood,negative,high,en
i feel sad today pls 😥,check_in_mood,negative,high,en
i'll come back later please. 😤,thanks_goodbye,positive,low,en
anchoring exercise please please. 😤,grounding_exercise,negative,medium,en
hello. 🙏,greeting_start,neutral,medium,en
i’m dissociating tbh 😥,grounding_exercise,negative,medium,en
i feel down today!! ✨,check_in_mood,negative,high,en
that’s all for now rn ✨,thanks_goodbye,positive,low,en
hi please... 💜 / necesito chatear,greeting_start,neutral,medium,en
what’s happening in my brain?. 😤,self_assess,neutral,medium,en
is anyone there? rn!! ✨,greeting_start,neutral,medium,en
??? tbh. ✨,fallback_clarify,neutral,low,en
support me reflect rn! 😥,journal_prompt,neutral,low,en
can we switch to english? please. 💜 / hablemos en español,language_switch,neutral,low,en
support me ground pls! 🙏,grounding_exercise,negative,medium,en
i feel sad today tbh!! 🙏,check_in_mood,negative,high,en
why am i feeling this way? please ✨ / ¿qué pasa en mi cerebro?,self_assess,neutral,medium,en
journal prompt please tbh! ✨,journal_prompt,neutral,low,en
i feel down today please 💜,check_in_mood,negative,high,en
i'll come back later pls. 🙏,thanks_goodbye,positive,low,en
need reassurance pls! 💜,affirmation_request,neutral,low,en
spanish mode tbh!! 💜,language_switch,neutral,low,en
spanish please rn 😤,language_switch,neutral,low,en
i need a calm breathing routine please!! 🙏,breathing_exercise,neutral,medium,en
what support options can support? rn!! 😥,info_help,neutral,low,en
"thanks, bye please!! ✨",thanks_goodbye,positive,low,en
english please rn... 😟 / inglés por favor,language_switch,neutral,low,en
give me a writing prompt tbh... 😥,journal_prompt,neutral,low,en
why am i feeling this way? rn!! ✨,self_assess,neutral,medium,en
give me an encouraging words rn! 🙏 / quiero una frase de apoyo,affirmation_request,neutral,low,en
hi pls.,greeting_start,neutral,medium,en
can we switch to english? tbh. ✨ / hablemos en español,language_switch,neutral,low,en
what help options can help? please!! 🌿,info_help,neutral,low,en
steadying exercise please 😟,grounding_exercise,negative,medium,en
i want to write about this please!! ✨,journal_prompt,neutral,low,en
??? tbh! 🙏,fallback_clarify,neutral,low,en
is this normal? pls! 🙏,self_assess,neutral,medium,en
say something encouraging tbh!! 😔,affirmation_request,neutral,low,en
hello tbh!,greeting_start,neutral,medium,en
i want to write about this pls.,journal_prompt,neutral,low,en
i need to chat rn. ✨,greeting_start,neutral,medium,en
i’m in danger right now tbh! 🙏,crisis_emergency,negative,high,en
i might overdose rn! 😤,crisis_emergency,negative,high,en
journal prompt please rn... 🌿,journal_prompt,neutral,low,en
need reassurance. 🙏 / necesito algo positivo,affirmation_request,neutral,low,en
spanish mode pls. 💜 / modo español,language_switch,neutral,low,en
give me an positive line please! 💜,affirmation_request,neutral,low,en
what resources can assist? rn. 💜,info_help,neutral,low,en
need to feel present tbh. 😔,grounding_exercise,negative,medium,en
information about support. 💜,info_help,neutral,low,en
i'm irritated pls! 🙏,check_in_mood,negative,high,en
hi. 💜,greeting_start,neutral,medium,en
??? tbh 😤,fallback_clarify,neutral,low,en
assist me reflect! 😟,journal_prompt,neutral,low,en
i'll come back later rn 😟 / eso es todo por ahora,thanks_goodbye,positive,low,en
i want to die rn. 😔,crisis_emergency,negative,high,en
i need something positive!!,affirmation_request,neutral,low,en
help me anchor pls 😟,grounding_exercise,negative,medium,en
"thanks, bye please 😟",thanks_goodbye,positive,low,en
what’s happening in my brain? tbh... ✨,self_assess,neutral,medium,en
i need a calm breathing routine tbh... 😟,breathing_exercise,neutral,medium,en
steadying exercise please pls. 😥,grounding_exercise,negative,medium,en
english please rn! 😥 / modo español,language_switch,neutral,low,en
breathing exercise please tbh! 😤 / un ejercicio de respiración,breathing_exercise,neutral,medium,en
i feel sad today.,check_in_mood,negative,high,en
breathing exercise please please!! 🌿 / ayúdame a respirar,breathing_exercise,neutral,medium,en
kill myself rn... 😔 / podría tener una sobredosis,crisis_emergency,negative,high,en
who can i chat to nearby? please... 😥,info_help,neutral,low,en
breathing exercise please rn. 🙏,breathing_exercise,neutral,medium,en
need to feel present please... 😟,grounding_exercise,negative,medium,en
can you help me breathing? please... 💜 / necesito calmarme con respiración,breathing_exercise,neutral,medium,en
hello please! 😥,greeting_start,neutral,medium,en
i will hurt myself please.,crisis_emergency,negative,high,en
i want to die rn. 🌿,crisis_emergency,negative,high,en
i'm irritated tbh!! 😥,check_in_mood,negative,high,en
give me an affirmation please!! ✨,affirmation_request,neutral,low,en
say something encouraging pls 😥,affirmation_request,neutral,low,en
english please pls 💜,language_switch,neutral,low,en
give me a writing prompt! 😥,journal_prompt,neutral,low,en
that’s all for now tbh!! 😤,thanks_goodbye,positive,low,en
give me a writing prompt tbh 😥 / una consigna para escribir,journal_prompt,neutral,low,en
journal prompt please pls. 🌿,journal_prompt,neutral,low,en
i need something positive please... 🌿,affirmation_request,neutral,low,en
who can i talk to nearby? rn!! 🌿,info_help,neutral,low,en
i need something positive pls!! 😟,affirmation_request,neutral,low,en
is this normal? please!! 😟 / ¿qué pasa en mi cerebro?,self_assess,neutral,medium,en
i'm panicky tbh 😥 / estoy como desconectado,check_in_mood,negative,high,en
information about support... ✨,info_help,neutral,low,en
i need to chat pls 🌿,greeting_start,neutral,medium,en
🤔 please!! 😔,fallback_clarify,neutral,low,en
spanish mode... ✨ / hablemos en español,language_switch,neutral,low,en
spanish please pls. 😤,language_switch,neutral,low,en
i want to die 😔,crisis_emergency,negative,high,en
that’s all for now pls! 😔,thanks_goodbye,positive,low,en
help me reflect tbh... 😟,journal_prompt,neutral,low,en
anchoring exercise please. 💜,grounding_exercise,negative,medium,en
i'm irritated tbh!! 😤,check_in_mood,negative,high,en
i want to write about this tbh!! 😥,journal_prompt,neutral,low,en
i want to write about this pls!!,journal_prompt,neutral,low,en
english please tbh... 🙏,language_switch,neutral,low,en
i need something positive pls. 😥,affirmation_request,neutral,low,en
support me steady pls!! 😥,grounding_exercise,negative,medium,en
i want to die pls!! 😔,crisis_emergency,negative,high,en
i'm panicky rn 💜,check_in_mood,negative,high,en
kill myself tbh!! 🙏 / me quiero morir,crisis_emergency,negative,high,en
i feel anxious tbh... 🙏,check_in_mood,negative,high,en
idk pls!! 😔,fallback_clarify,neutral,low,en
i’m dissociating tbh... ✨,grounding_exercise,negative,medium,en
🤔 pls! 😤,fallback_clarify,neutral,low,en
non-emergency help options please!! 😔,info_help,neutral,low,en
i need a calm breathing routine please... / un ejercicio de respiración,breathing_exercise,neutral,medium,en
spanish mode tbh!! 🙏,language_switch,neutral,low,en
"thanks, bye pls ✨ / me ayudó, buenas noches",thanks_goodbye,positive,low,en
spanish mode rn. 😔,language_switch,neutral,low,en
i'll come back later please. ✨,thanks_goodbye,positive,low,en
help me anchor. 💜,grounding_exercise,negative,medium,en
say something encouraging! 🙏,affirmation_request,neutral,low,en
need reassurance!! 🙏 / necesito algo positivo,affirmation_request,neutral,low,en
i feel blue today!! ✨,check_in_mood,negative,high,en
steadying exercise please pls 😥,grounding_exercise,negative,medium,en
can we switch to english? please!! 💜,language_switch,neutral,low,en
help me steady!! 😤,grounding_exercise,negative,medium,en
i want to write about this... 😟,journal_prompt,neutral,low,en
hey can we talk? tbh 💜,greeting_start,neutral,medium,en
give me an affirmation rn... ✨,affirmation_request,neutral,low,en
what please 😤,fallback_clarify,neutral,low,en
can you assist me breathe?.,breathing_exercise,neutral,medium,en
i need something positive pls. 🌿,affirmation_request,neutral,low,en
is this normal? please 😤,self_assess,neutral,medium,en
journal prompt please please! 😔 / una consigna para escribir,journal_prompt,neutral,low,en
give me a writing prompt rn... 🙏,journal_prompt,neutral,low,en
i’m dissociating pls,grounding_exercise,negative,medium,en
i'm mad rn. 🌿,check_in_mood,negative,high,en
journal prompt please please!! 🙏,journal_prompt,neutral,low,en
hey can we chat? tbh...,greeting_start,neutral,medium,en
kill myself tbh 🙏,crisis_emergency,negative,high,en
how do stress and emotions work? tbh 😥,self_assess,neutral,medium,en
hmm rn! 🌿,fallback_clarify,neutral,low,en
support me anchor pls!! ✨ / quiero sentirme presente,grounding_exercise,negative,medium,en
non-emergency help options pls. ✨,info_help,neutral,low,en
hello rn! 😔,greeting_start,neutral,medium,en
can you assist me breathe? tbh... 😔,breathing_exercise,neutral,medium,en
can you assist me breathe? rn! 😔,breathing_exercise,neutral,medium,en
is this normal? pls!! 😥,self_assess,neutral,medium,en
need to feel present pls 😤,grounding_exercise,negative,medium,en
i need a calm breathing routine rn. 😔,breathing_exercise,neutral,medium,en
🤔 pls. 😤,fallback_clarify,neutral,low,en
what’s happening in my brain? pls!! 😤,self_assess,neutral,medium,en
i need to chat tbh!! 😤 / necesito chatear,greeting_start,neutral,medium,en
"thanks, bye... 😔",thanks_goodbye,positive,low,en
i want to die...,crisis_emergency,negative,high,en
hmm rn!! 😔,fallback_clarify,neutral,low,en
"thanks, bye please 💜",thanks_goodbye,positive,low,en
hey can we talk? rn 💜 / ¿podemos hablar?,greeting_start,neutral,medium,en
??? please 🌿,fallback_clarify,neutral,low,en
how do stress and emotions work?!! ✨,self_assess,neutral,medium,en
spanish please. 😥,language_switch,neutral,low,en
can we switch to english? please!!,language_switch,neutral,low,en
??? please... 😟,fallback_clarify,neutral,low,en
who can i talk to nearby? rn 😟,info_help,neutral,low,en
information about support rn 🙏,info_help,neutral,low,en
"thanks, bye rn!! 🌿",thanks_goodbye,positive,low,en
i need a calm breathing routine pls!! ✨,breathing_exercise,neutral,medium,en
why am i feeling this way?!! 😥 / ¿esto es normal?,self_assess,neutral,medium,en
is anyone there? pls 🌿,greeting_start,neutral,medium,en
hmm rn 😥,fallback_clarify,neutral,low,en
"this supported, goodnight pls... 💜",thanks_goodbye,positive,low,en
breathing exercise please. 🙏,breathing_exercise,neutral,medium,en
what help options can support?...,info_help,neutral,low,en
spanish please... 😥,language_switch,neutral,low,en
"this helped, goodnight tbh 🙏",thanks_goodbye,positive,low,en
journal prompt please!! 😟,journal_prompt,neutral,low,en
